Total_Beds,Beds_A,Beds_B,Beds_C,Avg_Relocated_Total,Avg_Prob_Full_A,Avg_Prob_Full_B,Avg_Prob_Full_C,Avg_Util_A,Avg_Util_B,Avg_Util_C
125,85,38,2,2145.0,0.008782892068309843,0.0,0.9641687653166572,0.6028149341928551,0.40394136024993993,0.9995433789954338
125,85,39,1,2166.3333333333335,0.008258756146478516,0.0,0.9823220488778249,0.6028041901692184,0.3760449596066035,1.0
125,86,1,38,1051.3333333333333,0.10235960383123065,0.9497285319095039,0.3791900516167523,0.7064033131570563,0.9497716894977168,0.9760153809180486
125,86,2,37,1100.0,0.08765428398620391,0.877479178782849,0.41528742200386254,0.699500902622916,0.9200913242009133,0.979464395902752
125,86,3,36,1161.6666666666667,0.10076873313388442,0.8117811752072388,0.4311340026814421,0.6991823298290326,0.9077625570776257,0.9781329274479958
125,86,4,35,1116.3333333333333,0.06088968557266211,0.765820176560171,0.45103332441788985,0.6857173197408942,0.8958904109589042,0.9800913242009132
125,86,5,34,1132.3333333333333,0.06629258822250828,0.7026302541079231,0.4535320769924905,0.6681427206116597,0.8613698630136986,0.9826215417673919
125,86,6,33,1152.0,0.07075132892547271,0.6376271156562203,0.4587307461322568,0.6688754380375915,0.8624048706240487,0.9830911858309119
125,86,7,32,1178.3333333333333,0.06032299637585534,0.5937631740883531,0.4787489290536701,0.6703408728894553,0.8422700587084148,0.9828481735159817
125,86,8,31,1201.0,0.06371958836016273,0.5657853808917638,0.49155582009454307,0.673781459063396,0.8647260273972602,0.9843570481661512
125,86,9,30,1204.6666666666667,0.041935029239878574,0.4997506249377463,0.5138984157095278,0.658118296697462,0.8285134449518011,0.9851141552511415
125,86,10,29,1256.3333333333333,0.051339927389344786,0.4780651551837993,0.527410615725583,0.6612721673569077,0.828675799086758,0.9843804125334593
125,86,11,28,1301.0,0.04534074135675847,0.4193365720825431,0.5513534415135228,0.644355952001699,0.797343295973433,0.9874755381604695
125,86,12,27,1320.3333333333333,0.04188157979295786,0.398091492780334,0.5647235448931408,0.6593819687798662,0.8036529680365296,0.9880602063250464
125,86,13,26,1338.0,0.03777046960897118,0.33037488154898026,0.5762294850376781,0.6453116703833492,0.7831401475237092,0.9886898489638215
125,86,14,25,1312.6666666666667,0.028127478622567852,0.2938195308414922,0.584443654770734,0.6324307104173305,0.7414872798434442,0.9875433789954338
125,86,15,24,1380.6666666666667,0.02623201073223728,0.26209515571217695,0.608780917594447,0.6267494955930762,0.7432572298325724,0.989041095890411
125,86,16,23,1427.0,0.01863715930373833,0.2354674963090134,0.637267734432265,0.6147074439842838,0.7345890410958904,0.9899543378995433
125,86,17,22,1439.0,0.02038804803222984,0.1709251198199874,0.6429459175793849,0.6218328554741425,0.6939027665860865,0.9921129099211291
