5,28,42,2771.0
5,29,41,2792.0
5,30,40,2796.0
5,31,39,2977.0
5,32,38,2841.0
5,33,37,2973.0
5,34,36,2999.0
5,35,35,3012.0
5,36,34,2844.0
5,37,33,3010.0
5,38,32,3224.0
5,39,31,3182.0
5,40,30,3097.0
5,41,29,3146.0
5,42,28,3127.0
5,43,27,3166.0
5,44,26,3293.0
5,45,25,3372.0
5,46,24,3334.0
5,47,23,3424.0
5,48,22,3333.0
5,49,21,3481.0
5,50,20,3461.0
5,51,19,3517.0
5,52,18,3688.0
5,53,17,3617.0
5,54,16,3692.0
5,55,15,3767.0
5,56,14,3786.0
5,57,13,3749.0
5,58,12,3781.0
5,59,11,3702.0
5,60,10,3809.0
5,61,9,3926.0
5,62,8,3858.0
5,63,7,3995.0
5,64,6,3993.0
5,65,5,3975.0
5,66,4,4055.0
5,67,3,3926.0
5,68,2,4152.0
5,69,1,4100.0
6,1,68,2404.0
6,2,67,2593.0
6,3,66,2544.0
6,4,65,2357.0
6,5,64,2441.0
6,6,63,2624.0
6,7,62,2505.0
6,8,61,2439.0
6,9,60,2511.0
6,10,59,2422.0
6,11,58,2527.0
6,12,57,2520.0
6,13,56,2483.0
6,14,55,2414.0
6,15,54,2589.0
6,16,53,2382.0
6,17,52,2479.0
6,18,51,2509.0
6,19,50,2524.0
6,20,49,2471.0
6,21,48,2565.0
6,22,47,2721.0
6,23,46,2609.0
6,24,45,2596.0
6,25,44,2675.0
6,26,43,2603.0
6,27,42,2779.0
6,28,41,2596.0
6,29,40,2777.0
6,30,39,2807.0
6,31,38,2891.0
6,32,37,2854.0
6,33,36,2916.0
6,34,35,2870.0
6,35,34,3017.0
6,36,33,2955.0
6,37,32,3069.0
6,38,31,3019.0
6,39,30,3121.0
6,40,29,3107.0
6,41,28,2973.0
6,42,27,3308.0
6,43,26,3374.0
6,44,25,3215.0
6,45,24,3384.0
6,46,23,3327.0
6,47,22,3317.0
6,48,21,3224.0
6,49,20,3420.0
6,50,19,3544.0
6,51,18,3615.0
6,52,17,3597.0
6,53,16,3591.0
6,54,15,3610.0
6,55,14,3659.0
6,56,13,3636.0
6,57,12,3655.0
6,58,11,3819.0
6,59,10,3718.0
6,60,9,3740.0
6,61,8,3917.0
6,62,7,3920.0
6,63,6,4102.0
6,64,5,4021.0
6,65,4,3995.0
6,66,3,3945.0
6,67,2,4052.0
6,68,1,4131.0
7,1,67,2613.0
7,2,66,2453.0
7,3,65,2471.0
7,4,64,2321.0
7,5,63,2416.0
7,6,62,2473.0
7,7,61,2418.0
7,8,60,2453.0
7,9,59,2352.0
7,10,58,2388.0
7,11,57,2523.0
7,12,56,2498.0
7,13,55,2377.0
7,14,54,2458.0
7,15,53,2357.0
7,16,52,2421.0
7,17,51,2541.0
7,18,50,2608.0
7,19,49,2510.0
7,20,48,2485.0
7,21,47,2572.0
7,22,46,2671.0
7,23,45,2519.0
7,24,44,2608.0
7,25,43,2612.0
7,26,42,2548.0
7,27,41,2748.0
7,28,40,2647.0
7,29,39,2851.0
7,30,38,2584.0
7,31,37,2818.0
7,32,36,2925.0
7,33,35,2850.0
7,34,34,2939.0
7,35,33,3117.0
7,36,32,2985.0
7,37,31,3020.0
7,38,30,3191.0
7,39,29,3112.0
7,40,28,3207.0
7,41,27,3210.0
7,42,26,3295.0
7,43,25,3352.0
7,44,24,3234.0
7,45,23,3258.0
7,46,22,3337.0
7,47,21,3286.0
7,48,20,3552.0
7,49,19,3528.0
7,50,18,3431.0
7,51,17,3484.0
7,52,16,3515.0
7,53,15,3498.0
7,54,14,3688.0
7,55,13,3717.0
7,56,12,3883.0
7,57,11,3829.0
7,58,10,3775.0
7,59,9,3856.0
7,60,8,3815.0
7,61,7,3964.0
7,62,6,3860.0
7,63,5,4005.0
7,64,4,3936.0
7,65,3,4039.0
7,66,2,4104.0
7,67,1,4054.0
8,1,66,2529.0
8,2,65,2396.0
8,3,64,2478.0
8,4,63,2344.0
8,5,62,2378.0
8,6,61,2462.0
8,7,60,2398.0
8,8,59,2504.0
8,9,58,2442.0
8,10,57,2365.0
8,11,56,2492.0
8,12,55,2457.0
8,13,54,2384.0
8,14,53,2586.0
8,15,52,2497.0
8,16,51,2554.0
8,17,50,2484.0
8,18,49,2323.0
8,19,48,2415.0
8,20,47,2419.0
8,21,46,2668.0
8,22,45,2563.0
8,23,44,2500.0
8,24,43,2569.0
8,25,42,2648.0
8,26,41,2833.0
8,27,40,2624.0
8,28,39,2737.0
8,29,38,2841.0
8,30,37,2839.0
8,31,36,2740.0
8,32,35,2841.0
8,33,34,2877.0
8,34,33,3012.0
8,35,32,2832.0
8,36,31,3026.0
8,37,30,2917.0
8,38,29,2952.0
8,39,28,3045.0
8,40,27,3094.0
8,41,26,3243.0
8,42,25,3235.0
8,43,24,3269.0
8,44,23,3265.0
8,45,22,3411.0
8,46,21,3402.0
8,47,20,3187.0
8,48,19,3497.0
8,49,18,3430.0
8,50,17,3578.0
8,51,16,3401.0
8,52,15,3718.0
8,53,14,3562.0
8,54,13,3658.0
8,55,12,3652.0
8,56,11,3655.0
8,57,10,3612.0
8,58,9,3744.0
8,59,8,3727.0
8,60,7,3796.0
8,61,6,3906.0
8,62,5,3900.0
8,63,4,3854.0
8,64,3,4067.0
8,65,2,4027.0
8,66,1,4117.0
9,1,65,2480.0
9,2,64,2458.0
9,3,63,2450.0
9,4,62,2380.0
9,5,61,2420.0
9,6,60,2423.0
9,7,59,2320.0
9,8,58,2421.0
9,9,57,2359.0
9,10,56,2304.0
9,11,55,2415.0
9,12,54,2362.0
9,13,53,2549.0
9,14,52,2395.0
9,15,51,2384.0
9,16,50,2617.0
9,17,49,2463.0
9,18,48,2443.0
9,19,47,2505.0
9,20,46,2632.0
9,21,45,2576.0
9,22,44,2589.0
9,23,43,2571.0
9,24,42,2546.0
9,25,41,2658.0
9,26,40,2712.0
9,27,39,2572.0
9,28,38,2689.0
9,29,37,2731.0
9,30,36,2738.0
9,31,35,2794.0
9,32,34,2761.0
9,33,33,2809.0
9,34,32,2905.0
9,35,31,2873.0
9,36,30,2987.0
9,37,29,2961.0
9,38,28,3024.0
9,39,27,3096.0
9,40,26,3190.0
9,41,25,3331.0
9,42,24,3146.0
9,43,23,3280.0
9,44,22,3299.0
